Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
ANCHORS AWAY,,LIMITED,Assisted,1945,,,,,ANCHORS AWAY_1945,"NAVY PROVIDED LOCATIONS AND SHIPS AS BACKGROUND FOR END OF THE WAR SONG AND DANCE COMEDY, I.E., LEAD CHARACTERS ARE IN THE NAVY",
"BELL FOR ADANO, A",,LIMITED,Assisted,1945,,,,,"BELL FOR ADANO, A_1945",ARMY PROVIDED LIMITED ASSISTANCE (WHILE WAR WAS STILL GOING ON IN EUROPE) IN THE FORM OF MEN AND TRUCKS FOR STORY ABOUT REHABILITATION OF AN ITALIAN TOWN AFTER GERMANS HAD BEEN DRIVEN OUT.,
CAPTAIN EDDIE,,LIMITED,Assisted,1945,,,,,CAPTAIN EDDIE_1945,CINEMATIC BIOGRAPHY OF CAPTAIN EDDIE RICKENBACKER. ARMY AIR CORPS PROVIDED LIMITED ASSISTANCE ON STORY THAT INCLUDED WORLD WAR I COMBAT AND RICKENBACKER'S 19 DAYS FLOATING IN THE PACIFIC AFTER HIS PLANE WENT DOWN,
PRIDE OF THE MARINES,,APPROVED,Assisted,1945,,,,,PRIDE OF THE MARINES_1945,"STORY OF MARINE, AL SCHMIDT, BLINDED DURING FIREFIGHT ON SOUTH PACIFIC ISLAND. RECEIVED MEDAL FOR VALOR. FILM STORY OF HIS REHABILITATION AND ULTIMATELY MARRIAGE TO GIRL BACK HOME. IN FACT, SCHMIDT WAS NOT A HERO. HIS BUDDIES HAD MADE UP STORY BECAUSE OF HIS WOUND. HOWEVER, THE FILM HELPED EXPLAIN TO THE AMERICAN PEOPLE HOW DISABLED SOLDIERS WOULD BE HELPED TO RETURN TO CIVILIAN LIVES.",Y
GOD IS MY CO-PILOT,,APPROVED,Assisted,1945,,,,,GOD IS MY CO-PILOT_1945,BASED ON BEST SELLER. AIR CORP PROVIDED SOME PLANES AND BASE FOR MOVIE ABOUT SCOTT AND THE FLYING TIGERS,
STORY OF G.I. JOE,,APPROVED,Assisted,1945,,,,,STORY OF G.I. JOE_1945,"MOVIE BASED ON WRITING OF ERNIE PYLE AND HIS COVERING OF THE ITALIAN CAMPAIGN. THE ARMY PROVIDED A UNIT TO SERVE AS EXTRAS AND EQUIPMENT DURING FILMING. AFTERWARDS, THE UNIT WENT TO THE PACIFIC AND SUFFERED SIGNIFICANT CASUALTIES. CONSIDERED ONE OF THE GREAT WAR MOVIES OF ALL TIME. ",
THEY WERE EXPENDABLE,,APPROVED,Assisted,1945,,,,,THEY WERE EXPENDABLE_1945,"ONE OF THE WORLD WAR II NAVY CLASSICS, ALBEIT RELEASED AFTER THE WAR. TRUE STORY OF PT BOATS IN THE PHILIPPINES AFTER PEARL HARBOR AND RESCUE OF GENERAL MACARTHUR FROM CORRIGIDOR. JOHN FORD RECEIVED FULL COOPERATION, MEN AND BOATS, FOR FILMING IN FLORIDA KEYS. ROBERT MONTGOMERY PLAYED LIEUTENTANT JOHN B BUCKLEY, SQUADRON COMMANDER. JOHN WAYNE PLAYED HIS XO. ONLY THE NAMES WERE CHANGED.",
WALK IN THE SUN,,APPROVED,Assisted,1945,,,,,WALK IN THE SUN_1945,"ONE OF THE CLASSIC WORLD WAR II FILMS. HOWEVER, RELEASED AFTER WAR OVER AND PEOPLE WANTED TO FORGET WAR. INFLUENCED SAVING PRIVATE RYAN",
BEST YEARS OF OUR LIVES,,LIMITED,Assisted,1946,,,,,BEST YEARS OF OUR LIVES_1946,ARMY AIR CORPS PROVIDED LIMITED ASSISTANCE IN FORM OF FILMING ON BASE ON WHICH WWII PLANES WERE STORED UNTIL DESTROYED,
COMMAND DECISION,,APPROVED,Assisted,1948,,,,,COMMAND DECISION_1948,FIRST POST-WAR MOVIE ABOUT HEAVING BOMBING OF GERMANY. ARTIFICIAL WITH APPEARANCE OF CONGRESSIONAL COMMITTEE SEEKING ANSWERS ABOUT COMBAT LOSSES. AF PROVIDED PLANES AND COMBAT FOOTAGE.,
FIGHTER SQUADRON,,APPROVED,Assisted,1948,,,,,FIGHTER SQUADRON_1948,FIRST POST-WAR COMBAT FILM. PORTRAYED P-51 FIGHTERS IN SUMMER OF 1944. FIRST MOVIE TO USE COLORED COMBAT FOOTAGE. FIRST FILM OF ROCK HUDSON. SHOT WITH HELP OF WISCONSIN AIR NATIONAL GUARD. STILL CONSIDERED AN EXCITING FILM.,Y
HOME OF THE BRAVE,,OTHER,Not assisted,1948,,,,,HOME OF THE BRAVE_1948,STORY OF WORLD WAR II ABUSE OF BLACK SOLDIER BY WHITE SOLDIERS DURING A SPECIAL MISSION. ASSISTANCE NOT REQUESTED. CONTROVERSIAL AT TIME.,Y
BATTLE GROUND,,APPROVED,Assisted,1949,,,,,BATTLE GROUND_1949,"CLASSIC ARMY PICTURE SET IN THE BATTLE OF THE BULGE. FOCUS ON ARMY UNIT TRYING TO HOLD THE LINE. EXCEPT FOR VERY SMALL AMOUNT OF COMBAT FOOTAGE AND ONE OUTDOOR SCENE, MOVIE SHOT ENTIRELY ON MGM SET. ARMY PROVIDED SOME SOLDIERS TO SERVE AS EXTRAS AND TRAIN ACTORS. CONSIDERED BY SOME TO BE ONE OF BEST WORLD WAR II FILMS",
BATTLEGROUND,,APPROVED,Assisted,1949,,,,,BATTLEGROUND_1949,FIRST POST-WAR ARMY MOVIE. FILMED ENTIRELY ON AN MGM SOUND STAGE ALTHOUGH SET IN WINTER DURING THE BATTLE OF THE BULGE. ARMY PROVIDED ACTIVE DUTY SOLDIERS AS EXTRAS,
FRANCIS,,APPROVED,Assisted,1949,,,,,FRANCIS_1949,FIRST OF THE FRANCIS TALKING MULE FILMS. ARMY LOANED MEN AND EQUIPMENT AS BACKGROUND TO EARLY STORY,
SANDS OF IWO JIMA,,APPROVED,Assisted,1949,,,,,SANDS OF IWO JIMA_1949,CLASSIC MARINE FILM WHICH CREATED JOHN WAYNE'S IMAGE OF THE AMERICAN FIGHTING MAN. MARINES PROVIDED FULL COOPERATION AT CAMP PENDLETON TO RESTAGE ASSAULTS ON TARAWA AND IWO JIMA. ONLY PROBLEM RELATED TO SCENE IN WHICH JOHN WAYNE HITS ONE OF HIS MEN WITH RIFLE BUTT DURING TRAINING. TECHNICAL ADVISOR OBJECTED TO SCENE AND BUCKED IT UP TO COMMANDANT'S OFFICE WHICH CONFIRMED ORIGINAL APPROVAL. BUT SCENE TONED DOWN AND HUMORED UP. WAYNE DIES AFTER TEACHING THE NEXT GENERATION. FILM CREATED BY MARINES WITH AIDING RECRUITMENT,
TASK FORCE,,APPROVED,Assisted,1949,,,,,TASK FORCE_1949,"THE NAVY'S EPIC OF THE DEVELOPMENT OF AIRCRAFT CARRIER WARFARE, FROM THE ORIGINAL FLIGHTS OFF THE USS LANGLEY TO THE CREATION OF THE MODERN, POST-WWII 40,000 TON CARRIERS. GARY COOPER IS THE HERO WHO TAKES PART IN ALL DEVELOPMENTS. CLIMAX IS FICTIONALIZED ACCOUNT OF THE USS FRANKLIN'S SURVIVAL AS THE MOST DAMAGED SHIP IN WWII. SCRIPT ORIGINALLY WRITTEN AND APPROVED IN 1945. PROJECT IN LIMBO FOR THREE YEARS UNTIL STUDIO THOUGHT STORY COULD FIND MARKET. SPECTACULAR COMBAT SEQUENCES. SHIPBOARD SCENES SHOT DURING A CRUISE.",
TWELVE O'CLOCK HIGH,,APPROVED,Assisted,1949,,,,,TWELVE O'CLOCK HIGH_1949,AIR FORCE PROVIDED FULL COOPERATION INCLUDING 12 B-II'S WHICH WERE RESTORED TO WORLD WAR II VINTAGE. CLASSIC AIR FORCE STORY AS WELL AS LEADERSHIP STORY. FILM STILLED USED TO ILLUSTRATE TENSIONS OF LEADERSHIP,
AMERICAN GUERRILLA IN THE PHILIPPINES,,LIMITED,Assisted,1950,,,,,AMERICAN GUERRILLA IN THE PHILIPPINES_1950,NAVY PROVIDED A SHIP FOR A BRIEF SEQUENCE AT THE END OF THE FILM WHEN HERO IS RESCUED FROM HIDING PLACE.,
"BIG LIFT, THE",,APPROVED,Assisted,1950,,,,,"BIG LIFT, THE_1950","PORTRAYAL OF THE BERLIN AIRLIFT MADE ON LOCATION WITH FULL COOPERATION OF AIR FORCE WITH PLANES, MEN, AND LOCATIONS",
BREAKTHROUGH,,APPROVED,Assisted,1950,,,,,BREAKTHROUGH_1950,"UNEXCEPTIONAL WORLD WAR II ARMY STORY FROM TRAINING TO COMBAT, ARMY PROVIDED FULL ASSISTANCE",
CHAIN LIGHTNING,,OTHER,Not assisted,1950,,,,,CHAIN LIGHTNING_1950,"ABOUT DEVELOPMENT OF AMERICAN JET FIGHTERS, OPENS WITH US BOMBERS BEING ATTACKED BY GERMAN JETS WITH FADE TO TEST PILOTING.",
FLYING MISSILE,,APPROVED,Assisted,1950,,,,,FLYING MISSILE_1950,"STORY OF DEVELOPMENT OF MISSILE-LAUNCHING SUBMARINES AT BEGINNING OF COLD WAR. NAVY PROVIDED SUBMARINE AND OTHER SHIPS INCLUDING AIRCRAFT CARRIER. SOME SUBMARINERS CONSIDER THIS AN IMPORTANT FILM BECAUSE IT SHOWED HOW SUBMARINES COULD WIN NEXT WAR. HOWEVER, IT ALSO SHOWS THE VULNERABILITY OF SURFACE SHIPS TO MISSILES LAUNCHED FROM BEYOND THE HORIZON FROM SUBMARINES.",Y
HALLS OF MONTEZUMA,,APPROVED,Assisted,1950,,,,,HALLS OF MONTEZUMA_1950,"FOX'S VERSION OF JOHN WAYNE'S ""SANDS OF IWO JIMA."" FOCUS ON OFFICERS RATHER THAN ENLISTED MEN AND GENERALLY CONSIDERED TO BE MUCH LESS COMPELLING THAN ""IWO JIMA."" RECEIVED FULL MARINE COOPERATION AT CAMP PENDLETON",
"MEN, THE",,APPROVED,Assisted,1950,,,,,"MEN, THE_1950",ARMY AND VETERANS ADMINISTRATION GAVE FULL COOPERATION FOR BRIEF COMBAT SEQUENCE IN WHICH MARLON BRANDO RECEIVES A PARALYZING WOUND AND FOR FILMING IN VETERANS HOSPITAL SHOWING HOW SERVICE WORKED TO REHABILITATE PARALYZED VETERANS. VERY FRANK DISCUSSION OF SEXUAL IMPOTENCE ARMY AND VA FELT IT HAD GOOD INFORMATIONAL VALUE. BRANDO'S FIRST FILM ROLE,
AIR CADET,,APPROVED,Assisted,1951,,,,,AIR CADET_1951,"AIR FORCE CADETS LEARNING TO BECOME FIGHTER PILOTS IN WORLD WAR II. FULL COOPERATION OF PLANES, EQUIPMENT, AND LOCALES",
AT WAR WITH THE ARMY,,APPROVED,Assisted,1951,,,,,AT WAR WITH THE ARMY_1951,DEAN MARTIN JERRY LEWIS COMEDY SET IN PEACETIME ARMY,
CALL ME MISTER,,LIMITED,Assisted,1951,,,,,CALL ME MISTER_1951,"MUSICAL SET IN OCCUPIED JAPAN AFTER WWII. LIMITED ARMY ASSISTANCE, IE., BACKGROUND SHOTS OF MILITARY FACILITIES AND EQUIPMENT.",
DAY THE EARTH STOOD STILL,,LIMITED,Assisted,1951,,,,,DAY THE EARTH STOOD STILL_1951,"CLASSIC SCIENCE FICTION FILM WHICH RECEIVED NATIONAL GUARD COOPERATION ON THEORY THAT IF AN ALIEN APPEARED, THE MILITARY WOULD DEFEND THE NATION.",Y
DECISION BEFORE DAWN,,APPROVED,Assisted,1951,,,,,DECISION BEFORE DAWN_1951,STORY OF GERMAN POW WHO AGREES TO SPY FOR THE UNITED STATES DURING WWII. PRODUCED BY FRANK MCCARTHY. RECEIVED FULL COOPERATION FROM ARMY FOR FILMING ON LOCATION IN GERMANY,
FORCE OF ARMYS,,APPROVED,Assisted,1951,,,,,FORCE OF ARMYS_1951,WORLD WAR II COMBAT STORY SET IN ITALY. ARMY PROVIDED MEN AND EQUIPMENT,
FIXED BAYONETS,,LIMITED,Assisted,1951,,,,,FIXED BAYONETS_1951,KOREAN WAR STORY THAT COULD HAVE AS EASILY BEEN SET IN WORLD WAR II. ARMY PROVIDED LIMITED ASSISTANCE FOR STORY FILMED MOSTLY IN THE STUDIO,
FLYING LEATHERNECKS,,APPROVED,Assisted,1951,,,,,FLYING LEATHERNECKS_1951,"MADE AT REQUEST OF MARINE AVIATION AS ANSWER TO JOHN WAYNE'S ""SANDS OF IWO JIMA."" RECEIVED FULL COOPERATION OE MARINES AT EL TORO AND AT CAMP PENDLETON. WAYNE PLAYS A COLONEL AND FILM DOES CONVEY PROBLEMS OF COMMAND AND CONTROL.",
FROGMEN,,APPROVED,Assisted,1951,,,,,FROGMEN_1951,FILM ABOUT THE NAVY'S UNDERWATER DEMOLITION FORCE THAT LATER EVOLVED INTO THE NAVY SEALS. THE SERVICE PROVIDED ITS DIVERS AND LOCALES,
GO FOR BROKE,,APPROVED,Assisted,1951,,,,,GO FOR BROKE_1951,STORY OF JAPANESE-AMERICAN REGIMENT WHICH FOUGHT HEROICALLY IN ITALY IN WWII. ARMY PROVIDED MEN AND EQUIPMENT,
OPERATION PACIFIC,,APPROVED,Assisted,1951,,,,,OPERATION PACIFIC_1951,"FULL NAVY COOPERATION ON FIRST WORLD WAR II POST-WAR SUBMARINE MOVIE STARRING JOHN WAYNE. NAVY'S ONLY PROBLEM WITH FILM WAS PORTRAYAL OF TORPEDO PROBLEMS IN FIRST YEAR OF WAR. SHOWED TORPEDOS WERE DEFECTIVE WHICH SERVICE AND PENTAGON DID NOT APPRECIATE BEING PORTRAYED. AT SAME TIME, SHOWS HOW WAYNE SOLVED PROBLEM AND SO HELPED WIN The WAR. USE OF SUBMARINE,",
SUBMARINE COMMAND,,APPROVED,Assisted,1951,,,,,SUBMARINE COMMAND_1951,"STORY STARTS AT END OF WORLD WAR II, BUT MOSTLY SET IN KOREAN THEATER EVEN THOUGH SUBMARINES ACTUALLY HAD VIRTUALLY NO ROLE IN WAR. HOWEVER, NAVY PROVIDED A SUBMARINE FOR EXTERIOR SHOTS",
TARGET UNKNOWN,,APPROVED,Assisted,1951,,,,,TARGET UNKNOWN_1951,"STORY OF AMERICAN FLIERS SHOT DOWN OVER OCCUPIED FRANCE, CAPTURED, INTERROGATED, AND ESCAPE TO SEND MESSAGE OF WHERE TO BOMB TO HIT GASOLINE TANKS BEFORE INVASION. ONLY FILM TO FEATURE B-26 BOMBERS IN WORLD WAR II ACTION",
BIG JIM MCLEAN,,LIMITED,Assisted,1952,,,,,BIG JIM MCLEAN_1952,COLD WAR ESPIONAGE MOVIE WITH JOHN WAYNE AS HERO. NAVY PROVIDED LOCATIONS IN PEARL HARBOR FOR BACKGROUND SHOTS OF SHIPS AND WAYNE ABOARD A SHIP.,
BATTLE ZONE,,APPROVED,Assisted,1952,,,,,BATTLE ZONE_1952,KOREAN WAR FILM THAT RECEIVED COOPERATION,
RED BALL EXPRESS,,APPROVED,Assisted,1952,,,,,RED BALL EXPRESS_1952,STORY OF LOGISTICS SUPPORT OF ARMY FOLLOWING BREAKOUT FROM NORMANDY BEACHHEAD. ARMY PROVIDED MEN AND EQUIPMENT,
EIGHT IRON MAN,,OTHER,Not assisted,1952,,,,,EIGHT IRON MAN_1952,WORLD WAR II MOVIE WITH LESS THAN FAVORABLE IMAGES OF AMERICAN FIGHTING MEN. PRODUCERS DID NOT REQUEST COOPERATION.,
FLAT TOP,,APPROVED,Assisted,1952,,,,,FLAT TOP_1952,MADE WITH FULL COOPERATION OF NAVY. DERIVATIVE OF EARLIER AIRCRAFT CARRIER MOVIES. USED MOSTLY COMBAT FOOTAGE TO CREATE STORY,
FRANCIS GOES TO WEST POINT,,APPROVED,Assisted,1952,,,,,FRANCIS GOES TO WEST POINT_1952,ARMY ALLOWED FILMMAKERS TO SHOOT EXTERIOR SCENES AT THE MILITARY ACADEMY,
JUMPING JACKS,,APPROVED,Assisted,1952,,,,,JUMPING JACKS_1952,JERRY LEWIS AND DEAN MARTIN SERVICE COMEDY. BOYS END UP AS PARATROOPERS IN THE ARMY. ILLUSTRATES DRAMATIC LICENSE WHEN ONE STAR LANDS ON PARACHUTE OF OTHER STAR DURING A SCENE OF PARACHUTE JUMPING COURTESY US. ARMY,
ONE MINUTE TO ZERO,,APPROVED,Assisted,1952,,,,,ONE MINUTE TO ZERO_1952,"ARMY PROVIDED FULL COOPERATION TO FILM ABOUT OPENING DAYS OF KOREAN WAR. HOWEVER, SERVICE THEN OBJECTED TO CLOSING SEQUENCE IN WHICH OFFICER CALLS DOWN ARTILLERY ON LINE OF REFUGEES INFILTRATED WITH NORTH KOREAN SOLDIERS. HOWARD HUGHES REFUSED TO DELETE OR CHANGE SEQUENCE SINCE IT WAS CRUCIAL TO STORY. HUGHES DID CHECK TO MAKE SURE PENTAGON WOULD NOT CANCEL HIS DEFENSE CONTRACTS IF HE REFUSED.",
HELL RETREAT!,,APPROVED,Assisted,1952,,,,,HELL RETREAT!_1952,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAVE LANDING, BUT ON AN AIR FIELD, NOT A CARRIER",
TORPEDO ALLEY,,APPROVED,Assisted,1952,,,,,TORPEDO ALLEY_1952,"SUBMARINE STORY WHICH BEGINS AT END OF WORLD WAR II AND FOCUSES ON KOREAN WAR IN WHICH SUBMARINES ACTUALLY HAD NO ROLE. ONLY ACTION ON LAND, BUT NAVY PROVIDED A SUBMARINE APPROVED ASSISTANCE",
ABOVE AND BEYOND,,APPROVED,Assisted,1953,,,,,ABOVE AND BEYOND_1953,"STORY OF PAUL TIBBETS AND THE ATOMIC BOMB MISSION OVER HIROSHIMA. FULL COOPERATION IN THE FORM OF B-295, MEN, AND LOCATIONS",
BATTLE CIRCUS,,APPROVED,Assisted,1953,,,,,BATTLE CIRCUS_1953,"APPROVED ASSISTANCE, DATE APPROXIMATE",
DESTINATION GOBI,,LIMITED,Assisted,1953,,,,,DESTINATION GOBI_1953,US NAVY WEATHER MEN GO TO GOBI DESERT TO COLLECT WEATHER INFORMATION TO USE FOR ATTACKS ON JAPAN. LIMITED USE OF MEN AND EQUIPMENT,
COMBAT SQUAD,,APPROVED,Assisted,1953,,,,,COMBAT SQUAD_1953,"TYPICAL ARMY STORY SET IN KOREA. ARMY PROVIDED MEN, EQUIPMENT, AND TECHNICAL ADVISOR",
FIGHTER ATTACK,,LIMITED,Assisted,1953,,,,,FIGHTER ATTACK_1953,PILOT SHOT DOWN OVER ITALY DURING WORLD WAR II. RELATIONSHIP DEVELOPS WITH RESISTANCE. SOME COMBAT FOOTAGE,
FLIGHT NURSE,,APPROVED,Assisted,1953,,,,,FLIGHT NURSE_1953,TRITE ROMANTIC STORY SET IN KOREAN WAR LOCALE. AIR FORCE PROVIDED EQUIPMENT AS BACKGROUND.,
FROM HERE TO ETERNITY,,APPROVED,Assisted,1953,,,,,FROM HERE TO ETERNITY_1953,"ARMY DESPERATELY DID NOT WANT TO COOPERATE ON PRODUCTION. HOWEVER, COLUMBIA ENTERED INTO A LONG SERIES OF NEGOTIATIONS. ULTIMATELY, FILMMAKERS SOFTENED PORTRAYALS OF BRUTALITY IN STOCKADE AND HAD A REPELLENT OFFICER FACE DISCIPLINARY ACTION. IN TURN, ARMY ALLOWED FILMMAKERS FULL ACCESS TO SCHOFIELD BARRACKS, HI.",
GIRLS OF PLEASURE ISLAND,,APPROVED,Assisted,1953,,,,,GIRLS OF PLEASURE ISLAND_1953,"SILLY, UNFUNNY COMEDY ABOUT SOLDIERS WHO ESTABLISH BASE ON PACIFIC ISLAND ALREADY OCCUPIED BY A BEVY OF SISTERS AND THEIR FATHER. ARMY PROVIDED MEN AND EQUIPMENT AS BACKGROUND.",
"GLORY BRIGADE, THE",,APPROVED,Assisted,1953,,,,,"GLORY BRIGADE, THE_1953",ORDINARY KOREAN WAR STORY--G.I.S. LEAD GREEK TROOPS INTO ENEMY TERRITORY. ARMY PROVIDED MEN AND EQUIPMENT,
TAKE THE HIGH ROAD,,APPROVED,Assisted,1953,,,,,TAKE THE HIGH ROAD_1953,"FILM ABOUT INFANTRY BASIC TRAINING AT FORT BLISS WITH FULL ARMY COOPERATION. ORIGINALLY WRITTEN ABOUT MARINE BASIC TRAINING AT PARRIS ISLAND, BUT MARINES REFUSED TO COOPERATE BECAUSE OF RECENT TRAINING ACCIDENTS. WENT ALL THE WAY TO COMMANDANT FOR FINAL DECISION",
BAMBOO PRISON,,APPROVED,Assisted,1954,,,,,BAMBOO PRISON_1954,STORY ABOUT AMERICAN PRISONERS OF WAR DURING THE KOREAN WAR. LIMITED USE OF MEN AND EQUIPMENT,
BEACHHEAD,,LIMITED,Assisted,1954,,,,,BEACHHEAD_1954,"MARINE CORPS INITIALLY TURNED DOWN REQUEST FOR COOPERATION SINCE FILM HAD A 50% CASUALTY RATE AT A TIME SERVICE WAS GEARING UP A MAJOR RECRUITING CAMPAIGN. FOUR MEN GO ON PATROL AND TWO DIE. HOWEVER, MARINES LIKED COMPLETED FILM AND PROVIDED THE MARINE BAND AT THE PREMIERE.",Y
"BRIDGES AT TOKO RI, THE",,APPROVED,Assisted,1954,,,,,"BRIDGES AT TOKO RI, THE_1954","MADE WITH FULL COOPERATION OF THE NAVY. BASED ON ARTICLE AND BOOK BY JAMES MICHENER. SHOWED CARRIER JET OPERATIONS WHICH WAS REASON NAVY APPROVED FILM DESPITE ANTI-WAR ENDING WITH WILLIAM HOLDEN, A RELUCTANT WARRIOR, DEAD IN A DITCH AFTER BEING SHOT DOWN.",Y
"CAINE MUTINY, THE",,APPROVED,Assisted,1954,,,,,"CAINE MUTINY, THE_1954","NAVY FOUGHT VALIANTLY TO AVOID ASSISTING ON MOVIE CLAIMING IT HAD NEVER EXPERIENCED A MUTINY ON ONE OF ITS SHIPS (NOT ACCURATE). STANLEY KRAMER FOUGHT EVEN HARDER TO OBTAIN ASSISTANCE AND FINALLY WORE DOWN NAVY AFTER CHANGING PORTRAYAL OF QUEEG, SHOWING HIM THE VICTIM OF THE STORY BECAUSE HIS MEN WOULD NOT SUPPORT HIM.",Y
PRISONER OF WAR,,APPROVED,Assisted,1954,,,,,PRISONER OF WAR_1954,STORY OF AMERICANS IN NORTH KOREAN PRISON CAMP. ONLY IMPORTANCE OF FILM IS THAT RONALD REAGAN PARACHUTES INTO CAMP TO ASCERTAIN SITUATION. ARMY PROVIDED ASSISTANCE TO CREATE CAMP AND TO PROVIDE MEN AND EQUIPMENT,Y
"GLENN MILLER STORY, THE",,APPROVED,Assisted,1954,,,,,"GLENN MILLER STORY, THE_1954",AIR FORCE GAVE FULL COOPERATION ON CLOSING PORTION OF THE FILM WHICH HAS GLENN MILLER AND HIS ORCHESTRA IN ENGLAND PLAYING FOR THE TROOPS,
MEN OF THE FIGHTING LADY,,APPROVED,Assisted,1954,,,,,MEN OF THE FIGHTING LADY_1954,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAFE LANDING, BUT ON AN AIRFIELD, NOT A CARRIER",
ANNAPOLIS STORY,,APPROVED,Assisted,1955,,,,,ANNAPOLIS STORY_1955,"NAVY PROVIDED FULL COOPERATION. NOT REALLY ABOUT ANNAPOLIS, BUT ABOUT CARRIER WARFARE DURING THE KOREAN WAR. A FEW SCENES TAKE PLACE AT ANNAPOLIS AND SOME DURING FLIGHT SCHOOL AT PENSACOLA.",
BATTLE CRY,,APPROVED,Assisted,1955,,,,,BATTLE CRY_1955,"THIS IS THE QUINTESSENTIAL MARINE FILM OF THE POST-WAR PERIOD. JOHN WAYNE MAY HAVE BEEN THE MARINE FOR MOST AMERICANS, BUT SOME FORMER MARINES SAY ""BATTLE CRY"" BETTER REPRESENTED THEIR EXPERIENCES IN BOOT CAMP AND IN THE PACIFIC. RECEIVED FULL COOPERATION AT THE RECRUIT DEPOT IN SAN DIEGO, CAMP PENDLETON, AND DURING A TRAINING EXERCISE ON VIEQUES ISLAND (PUERTO RICO).",Y
BATTLE TAXI,,APPROVED,Assisted,1955,,,,,BATTLE TAXI_1955,"UNEXCEPTIONAL STORY OF ARMY HELICOPTERS IN KOREA WAR. USE OF MEN, EQUIPMENT, HELICOPTERS",
BLOOD ALLEY,,OTHER,Not assisted,1955,,,,,BLOOD ALLEY_1955,NEED ADDITIONAL INFORMATION,
COURT MARTIAL OF BILLY MITCHELL,,LIMITED,Assisted,1955,,,,,COURT MARTIAL OF BILLY MITCHELL_1955,VERY LIMITED ASSISTANCE IN THE FORM OF NEWSREEL FOOTAGE AND ADVICE,
ETERNAL SEA,,APPROVED,Assisted,1955,,,,,ETERNAL SEA_1955,"TRUE STORY OF ADMIRAL HOSKINS, NAVY FLIER WHO LOSES LEG ON PRINCETON THE DAY HE IS SUPPOSED TO TAKE COMMAND. USES NAVY REGS TO REMAIN ON ACTIVE DUTY. LATER BECAME FIRST NAVY PILOT TO FLY A JET FIGHTER OFF CARRIER DECK, FULL COOPERATION",
FRANCIS IN THE NAVY,,APPROVED,Assisted,1955,,,,,FRANCIS IN THE NAVY_1955,"ANOTHER IN THE SERIES OF FRANCIS THE TALKING MULE COMEDIES. THE NAVY PROVIDED SHIPS, MEN, AND LOCALES AS BACKGROUND TO THE COMEDY. TYPICAL SERVICE FARCE.",
FRANCIS JOINS THE WACS,,APPROVED,Assisted,1955,,,,,FRANCIS JOINS THE WACS_1955,"ANOTHER IN THE TALKING MULE SERIES-SET, IN PART, ON A WAC BASE",
THE LONG GRAY LINE,,APPROVED,Assisted,1955,,,,,THE LONG GRAY LINE_1955,FULL COOPERATION AT WEST POINT FOR STORY OF IRISH ATHLETIC TRAINER WHO ARRIVED AS AN IMMIGRANT AND STAYED HIS WHOLE LIFE AT THE MILITARY ACADEMY. HE KNEW ALL THE GREAT GENERALS WHO PASSED THROUGH THE DOOR INCLUDING PRESIDENT EISENHOWER. ARMY GAVE FULL COOPERATION TO STORY OF ATHLETIC TRAINER AT WEST POINT. ALL EXTERIOR FILMING DONE THERE.,
"MCCONNELL STORY, THE",,APPROVED,Assisted,1955,,,,,"MCCONNELL STORY, THE_1955",AIR FORCE GAVE FULL COOPERATION TO FICTIONALIZE BIOGRAPHY OF JET TEST PILOT AND HIS COMBAT IN KOREA,
MISTER ROBERTS,,APPROVED,Assisted,1955,,,,,MISTER ROBERTS_1955,"NAVY VERY RELUCTANTLY PROVIDED ASSISTANCE IN FORM OF FREISHTER AND SOME MEN. NOT A GOOD IMAGE MADE OF THE NAVY OR ITS OFFICERS. HOWEVER, JOHN FORD WAS TO DIRECT AND HE HAD A LONG STANDING RELATIONSHIP WITH THE NAVY--""PEARL HARBOR,""(DOC), ""MIDWAY,“ (DOC), “MEN WITHOUT WOMEN,"" 'THEY WERE EXPENDABLE,"" ETC. SD FINALLY AGREED TO PROVIDE A WORLD WAR II MERCHANT SHIP.",
